Local_ID,Grade_Level,Raw_Eth_Race,Num_Eth_Race,Eth_W,Eth_H,Eth_B,Eth_O,Economic_Disadvantage,English_Learner,Special_Ed,Gifted_Talented,Number_Discipline_Incidents,YN_Discipline,Num_Gender,Num_Campus_Name,CheetoMS1,PizzaMS2,TunaMS3,MustardMS4,WatermelonMS5,Math_Avg,ELA_Avg,Math_Pass,ELA_Pass
1333,7,W,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,88.5,85,1,1
1334,8,W,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,77,83.5,1,1
1335,7,H,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,82,81.5,1,1
1336,8,W,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,86,81.5,1,1
1337,8,B,3,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,87,88.5,1,1
1338,8,W,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,73.5,75,1,1
1339,8,H,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,84,80.5,1,1
1340,6,W,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,92.5,83,1,1
1341,7,H,2,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,83,85.5,1,1
1342,7,H,2,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,84,90.5,1,1
1343,8,W,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,91,88.5,1,1
1344,7,A,4,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,84,78.5,1,1
1345,6,T,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,81,82,1,1
1346,7,W,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,82,80,1,1
1347,8,W,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,90,87,1,1
1348,8,A,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,73,77,1,1
1349,7,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,92.5,85.5,1,1
1350,7,B,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,93,87.5,1,1
1351,6,H,2,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,79.5,82,1,1
1352,7,H,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,90,85.5,1,1
1353,7,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,88.5,84,1,1
