"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"577",8,"B",3,0,0,1,0,1,0,0,0,4,1,1,5,0,0,0,0,1,75.5,1,1
"817",8,"H",2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,73,1,1
"4724",7,"H",2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,86,1,1
"3977",6,"H",2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,84,1,1
"4876",7,"W",1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,82.5,1,1
"1746",6,"B",3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,76.5,1,1
"2510",7,"H",2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,89,1,1
"4052",6,"W",1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,92.5,1,1
"36",8,"W",1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,86,1,1
"74",8,"W",1,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,1,0,89,1,1
"3415",6,"B",3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,90,1,1
"4644",6,"H",2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,92,1,1
"1376",7,"A",4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,95.5,1,1
"4054",6,"W",1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,78.5,1,1
"3924",8,"W",1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,80,1,1
"4936",7,"B",3,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,1,69.5,0,0
"3064",8,"B",3,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,95.5,1,1
